Mun,MesoRegiao,Cod_Meso
Oratórios,Zona da Mata,3112
Orizânia,Zona da Mata,3112
Ouro Branco,Metropolitana de Belo Horizonte,3107
Ouro Fino,Sul / Sudoeste de Minas,3110
Ouro Preto,Metropolitana de Belo Horizonte,3107
Ouro Verde de Minas,Vale do Mucuri,3104
Padre Carvalho,Norte de Minas,3102
Padre Paraíso,Jequitinhonha,3103
Pai Pedro,Norte de Minas,3102
Paineiras,Central Mineira,3106
Pains,Oeste de Minas,3109
Paiva,Zona da Mata,3112
Palma,Zona da Mata,3112
Palmópolis,Jequitinhonha,3103
Papagaios,Metropolitana de Belo Horizonte,3107
Pará de Minas,Metropolitana de Belo Horizonte,3107
Paracatu,Noroeste de Minas,3101
Paraguaçu,Sul / Sudoeste de Minas,3110
Paraisópolis,Sul / Sudoeste de Minas,3110
Paraopeba,Metropolitana de Belo Horizonte,3107
Passa Quatro,Sul / Sudoeste de Minas,3110
Passa Tempo,Oeste de Minas,3109
Passa-Vinte,Sul / Sudoeste de Minas,3110
Passabém,Metropolitana de Belo Horizonte,3107
Passos,Sul / Sudoeste de Minas,3110
Patis,Norte de Minas,3102
Patos de Minas,Triângulo Mineiro / Alto Paranaíba,3105
Patrocínio,Triângulo Mineiro / Alto Paranaíba,3105
Patrocínio do Muriaé,Zona da Mata,3112
Paula Cândido,Zona da Mata,3112
Paulistas,Vale do Rio Doce,3108
Pavão,Vale do Mucuri,3104
Peçanha,Vale do Rio Doce,3108
Pedra Azul,Jequitinhonha,3103
Pedra Bonita,Zona da Mata,3112
Pedra do Anta,Zona da Mata,3112
Pedra do Indaiá,Oeste de Minas,3109
Pedra Dourada,Zona da Mata,3112
Pedralva,Sul / Sudoeste de Minas,3110
Pedras de Maria da Cruz,Norte de Minas,3102
Pedrinópolis,Triângulo Mineiro / Alto Paranaíba,3105
Pedro Leopoldo,Metropolitana de Belo Horizonte,3107
Pedro Teixeira,Zona da Mata,3112
Pequeri,Zona da Mata,3112
Pequi,Metropolitana de Belo Horizonte,3107
