REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Luz,18400,3 - 10001 até 20000,Municipal,"99,8","6,5"
3 - Sudeste,31,MG,Luz,18400,3 - 10001 até 20000,Pública,"99,9","6,5"
3 - Sudeste,31,MG,Machacalis,7237,2 - 5001 até 10000,Estadual,"98,0","4,7"
3 - Sudeste,31,MG,Machacalis,7237,2 - 5001 até 10000,Municipal,"100,0","5,8"
3 - Sudeste,31,MG,Machacalis,7237,2 - 5001 até 10000,Pública,"99,6","5,5"
3 - Sudeste,31,MG,Machado,41920,4 - 20001 até 50000,Estadual,"99,7","7,2"
3 - Sudeste,31,MG,Machado,41920,4 - 20001 até 50000,Municipal,"99,8","7,1"
3 - Sudeste,31,MG,Machado,41920,4 - 20001 até 50000,Pública,"99,8","7,2"
3 - Sudeste,31,MG,Madre de Deus de Minas,5153,2 - 5001 até 10000,Municipal,"99,4","6,4"
3 - Sudeste,31,MG,Madre de Deus de Minas,5153,2 - 5001 até 10000,Pública,"99,4","6,4"
3 - Sudeste,31,MG,Malacacheta,19157,3 - 10001 até 20000,Estadual,"99,2","5,9"
3 - Sudeste,31,MG,Malacacheta,19157,3 - 10001 até 20000,Municipal,"92,1","5,0"
3 - Sudeste,31,MG,Malacacheta,19157,3 - 10001 até 20000,Pública,"97,3","5,8"
3 - Sudeste,31,MG,Mamonas,6624,2 - 5001 até 10000,Municipal,"99,5","5,9"
3 - Sudeste,31,MG,Mamonas,6624,2 - 5001 até 10000,Pública,"99,5","5,9"
3 - Sudeste,31,MG,Manga,19372,3 - 10001 até 20000,Estadual,"99,7","5,4"
3 - Sudeste,31,MG,Manga,19372,3 - 10001 até 20000,Municipal,"99,7","5,1"
3 - Sudeste,31,MG,Manga,19372,3 - 10001 até 20000,Pública,"99,7","5,2"
3 - Sudeste,31,MG,Manhuaçu,88580,5 - 50001 até 100000,Estadual,"99,4","6,6"
3 - Sudeste,31,MG,Manhuaçu,88580,5 - 50001 até 100000,Municipal,"98,0","5,8"
3 - Sudeste,31,MG,Manhuaçu,88580,5 - 50001 até 100000,Pública,"98,7","6,3"
3 - Sudeste,31,MG,Manhumirim,22784,4 - 20001 até 50000,Estadual,-,-
3 - Sudeste,31,MG,Manhumirim,22784,4 - 20001 até 50000,Municipal,"92,7","6,0"
3 - Sudeste,31,MG,Manhumirim,22784,4 - 20001 até 50000,Pública,"92,7","6,0"
3 - Sudeste,31,MG,Mantena,28132,4 - 20001 até 50000,Estadual,-,-
3 - Sudeste,31,MG,Mantena,28132,4 - 20001 até 50000,Municipal,"98,3","6,4"
3 - Sudeste,31,MG,Mantena,28132,4 - 20001 até 50000,Pública,"98,3","6,4"
3 - Sudeste,31,MG,Maravilhas,7876,2 - 5001 até 10000,Estadual,"100,0","6,4"
3 - Sudeste,31,MG,Maravilhas,7876,2 - 5001 até 10000,Municipal,"93,8","5,3"
3 - Sudeste,31,MG,Maravilhas,7876,2 - 5001 até 10000,Pública,"95,2","5,6"
3 - Sudeste,31,MG,Mar de Espanha,12743,3 - 10001 até 20000,Estadual,"99,7","6,3"
3 - Sudeste,31,MG,Mar de Espanha,12743,3 - 10001 até 20000,Municipal,"89,7","5,0"
3 - Sudeste,31,MG,Mar de Espanha,12743,3 - 10001 até 20000,Pública,"97,7","6,0"
3 - Sudeste,31,MG,Maria da Fé,14488,3 - 10001 até 20000,Estadual,-,-
3 - Sudeste,31,MG,Maria da Fé,14488,3 - 10001 até 20000,Municipal,"98,3","7,0"
3 - Sudeste,31,MG,Maria da Fé,14488,3 - 10001 até 20000,Pública,"98,3","7,0"
3 - Sudeste,31,MG,Mariana,59857,5 - 50001 até 100000,Estadual,"99,6","6,2"
