Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio
Bom Jesus da Penha,155.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Jesus do Amparo,105.00,0.00,0.00,127.00,287.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Jesus do Galho,0.00,0.00,0.00,351.00,303.00,70.00,254.00,45.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Repouso,0.00,110.00,0.00,214.00,390.00,141.00,0.00,0.00,76.00,0.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00
Bom Sucesso,0.00,92.00,0.00,357.00,866.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,31.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00
Bonfim,14.00,0.00,0.00,123.00,301.00,38.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bonfinópolis de Minas,58.00,41.00,0.00,147.00,292.00,36.00,196.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bonito de Minas,0.00,65.00,0.00,141.00,0.00,583.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Borda da Mata,227.00,24.00,0.00,328.00,606.00,0.00,528.00,0.00,98.00,0.00,0.00,0.00,0.00,39.00,25.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00
Botelhos,164.00,45.00,0.00,350.00,471.00,48.00,241.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00
Botumirim,0.00,33.00,0.00,215.00,0.00,113.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brás Pires,43.00,19.00,0.00,86.00,174.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brasilândia de Minas,0.00,87.00,17.00,411.00,735.00,17.00,0.00,0.00,156.00,0.00,0.00,0.00,0.00,23.00,1.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00
Brasília de Minas,318.00,0.00,179.00,548.00,0.00,380.00,197.00,123.00,0.00,0.00,0.00,0.00,0.00,11.00,8.00,0.00,0.00,167.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
Braúnas,0.00,0.00,0.00,97.00,211.00,59.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazópolis,111.00,0.00,0.00,268.00,662.00,25.00,0.00,0.00,127.00,0.00,0.00,0.00,0.00,34.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00
Brumadinho,277.00,303.00,0.00,832.00,"1,170.00",978.00,"1,049.00",726.00,60.00,0.00,0.00,0.00,0.00,47.00,0.00,109.00,0.00,93.00,0.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00
Bueno Brandão,0.00,0.00,0.00,192.00,506.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.50,0.00,0.00,0.00,0.00,0.00,0.00
