Municipios,Creche Integral,Creche Parcial,Pré-Escola Integral,Pré-Escola Parcial,Sér. Iniciais Urbana,Sér. Iniciais Rural,Sér. Finais Urbana,Sér. Finais Rural,Tempo Integral,Urbano,Rural,Tempo Integral.1,Integ. a Ed. Prof.,Educação Especial,AEE,Aval. no Proc.,Integ. à Ed. Prof. de nível médio,Educação Indigena/Quilombola,Creche Integral.1,Creche Parcial.1,Pré-Escola Integral.1,Pré-Escola Parcial.1,Ed. Especial,Ensino Fund. Sér. Finais Rural,Ensino Médio Rural,Ensino Médio Integ. à Ed. Prof.,Ed. Indíg./ Quil.,EJA - Aval. no Proc.,EJA - Int Ed. Profis. de Nível Médio,Total Matriculados
Araguari,651.0,0.0,285.0,1318.0,2300.0,387.0,722.0,227.0,221.0,0.0,0.0,0.0,0.0,100.0,79.0,199.0,0.0,0.0,243.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,6850.0
Arantina,60.0,0.0,0.0,65.0,202.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
Araponga,0.0,0.0,0.0,118.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0
Araporã,0.0,305.0,0.0,213.0,412.0,0.0,321.0,0.0,102.0,0.0,0.0,0.0,0.0,37.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1436.0
Arapuá,26.0,16.0,0.0,38.0,102.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0
Araújos,0.0,30.0,0.0,202.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0
Araxá,1594.0,179.0,1079.0,696.0,2573.0,249.0,540.0,189.0,397.0,0.0,0.0,0.0,0.0,301.0,228.0,171.0,0.0,0.0,403.0,58.0,135.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8876.0
Arceburgo,149.0,34.0,0.0,197.0,502.0,0.0,225.0,0.0,55.0,0.0,0.0,0.0,0.0,30.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0
Arcos,472.0,0.0,0.0,691.0,1452.0,143.0,0.0,60.0,302.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,28.0,0.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3206.0
Areado,106.0,0.0,0.0,347.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.0
